0,1,2
"餐区的窗帘盒餐椅上的靠垫(图)
","　　餐区的窗帘盒餐椅上的靠垫，采用了同色系，所以可以遥相呼应；同时，还通过白色的布艺餐椅和白色的墙面，来调和色彩的密度。

",6
"第25届深圳国际家具展完满谢幕(组图)
","　　第25届深圳国际家具展于日前正式闭幕。据悉，作为国内最时尚、最高端的家具展，此次展会吸引了国内外600余家企业、1000多个国内和国际家具品牌、超过50万专业买家到场。作为“设计之都”的深圳，设计人才居全国之首，“设计巨蛋”的创意更是吸引了国际国内的设计大师同台竞技。业内专家认为，保持深圳设计领先要走创新和自主品牌之路，在设计推动下，深圳也正在完成从“制造型经济”向“创意型经济”的升级转型。
　　
　　各式各样精美耀眼的灯饰，柔软舒适的真皮沙发，古典气息的卧室装饰，用竹枝、荷花池装点的客厅，这些琳琅满目的新型家具产品令不少参观者流连忘返。然而，最具特色的是今年首次推出全新概念的设计师展——“设计巨蛋”。国内外知名的设计大师均到场，展示他们设计出的新产品，并希望将这些理念和产品转化为“深圳制造”的产品，获得深圳消费者的青睐。据主办方介绍，“蛋”——意味着“蜕变”，只有“蜕变”才能产生效益；“设计巨蛋”正是为设计师们提供一个“蜕变”的平台，让设计师们与企业老板更深入地接触。
　　
　　深圳设计人才居全国之首
　　圆形的凳面可以随意翻转，软面可坐，硬面可放置物品，甚至可以作为供踩踏的凳梯子，凳脚还是间隔不均匀的设计。这是两次获得红点设计大奖的德国女设计师Jutta设计的“Mu”韵律系列之矮凳。这位优雅的女设计师告诉记者，灵感来自于对乐器控制的不规律间隔与和谐乐音之间的有趣关系，多用的功能也是环保和低碳的践行。“我是第一次到深圳来参展，希望深圳有更多人喜欢我的作品。”Jutta表示。
　　据统计，深圳已聚集了10万设计从业人员。目前在全国设计界具有广泛影响的精英人才，很多出自深圳。深圳建设的历史就是深圳设计的发展史。深圳活跃的经济氛围产生了众多杰出的国际级设计大师，在全球最权威的设计师组织AGI中，中国共有不过十位会员，深圳便占了4位——王粤飞、陈绍华、韩家英、毕学锋。
　　
　　保持领先应走自主品牌之路
　　2008年12月7日，深圳荣获联合国教科文组织授予的“设计之都”称号，成为内地首个、全球第六个获此殊荣的“设计之都”。在设计创意方面，深圳走在了全国前列，在家具行业如何保持领先的优势呢？
　　深圳市家具行业协会秘书长侯克鹏告诉记者一个喜人的数字，去年虽然经受了金融危机，然而深圳的家具行业仍然增长了6%。
　　
　　侯克鹏认为，从深圳制造到深圳创造，需要靠设计创意和自主品牌。正如今年2月份在“世界设计城市峰会”上，深圳市委常委、常务副市长许勤在介绍深圳“设计之都”的建设经验时谈到，在设计推动下，深圳正逐渐由原来的“制造型经济”向“创意型经济”升级转型，走上一条可持续发展道路。
　　本次设计巨蛋平台有别于国内其他设计展，把设计师和企业成功对接，参展商反映热烈，表示一定会参加下一届“设计巨蛋”。

",6
"内圣外王 成就沙漠绿洲漆民族品牌之道
","　　广东中山市丽莎涂料有限公司由开始的区域性品牌，发展为全国性大品牌；由开始的无自主产权到成功研发沙漠绿洲草本漆，并拥有发明专利，一举成为中国驰名商标，中国涂料十大品牌。沙漠绿洲漆完成了铸就民族品牌之路的第一步，也是伟大的一步。分析其成就之路，笔者认为可以用四个字概括---“内圣外王”之道。
　　笔者以为，“内圣外王”也是中国民族品牌成长的核心内涵。“内圣外王”是儒家政治思想的一个核心，指的是对内(尤指自身)具有圣人的才德，对外施行王道。放在现代经济领域中，说明一个企业自身具有一种成功的资质并施行与之相适应的行为，对外具有王者风范，并实施与之相适应的行为。笔者就以沙漠绿洲漆及所属中山丽莎公司的几个成功剪影稍作分析。
　　“内圣”——从艰苦创业到成就著名品牌，蜕变成蝶彰显实力
　　和海尔等许多民族企业一样，沙漠绿洲漆母公司中山丽莎公司在创业初期也只是星星之火。1997年成立时，厂房十分简陋，生产设备也十分落后，技术研发不足，也不具备自主知识产权的品牌产品。
　　在创始人，中山丽莎公司总经理葛宝镜先生的带领下，丽莎人坚持“实干创造未来，创新改变命运”的立业信念，艰苦创业。使得公司在十几年的发展道路上，以每年超过50%的速度快速增长，销售网络遍及全国。
　　成功研发出新一代、零污染涂料—沙漠绿洲草本漆系列产品。并迅速占领市场。中山丽莎公司先后获得广东省涂料行业旗舰企业、中国建材交易信用AA等级企业，中国涂料十大品牌等称号。沙漠绿洲漆也于2010年2月正式成为“中国驰名商标”！至此，沙漠绿洲漆通过内在的自身艰苦创业，由星星之火终成燎原之火，也完成了飞蛾到飞蝶的蜕变。
　　“内圣”——从“蕾风行动”到“百万保险”健康保障，赢取人心占领市场
　　据该公司的一位市场人员说，公司从一开始就把消费者的切身利益放在所有市场行为的首要考虑因素。他们重点从解决消费者的使用难题和消费者的身心健康着手，从而推出“蕾风行动”和“百万保险倾情大放送”两大市场举措。“蕾风行动”旨在为客户(消费者和加盟经销商)在加盟经营、涂料使用上提供一揽子的服务和解决方案，深得消费者和业内人士的称赞。“百万保险倾情大放送”，为购买沙漠绿洲漆任何系列产品的客户，都将馈赠“百万保险”保障。给消费者吃下一颗定心丸，让消费者买的放心，用的安心。此举引起市场的热烈反响。业界人士称此举彰显了沙漠绿洲漆的实力，显示了他们对自身研制产品的信心。“这两大市场举措的基点都是我们的客户。因为我们知道，只有真正关心客户的切身利益，解决客户的实际困难，我们才能得到客户的认同和接受。我们要以一颗感恩的心和责任心去对待客户。”沙漠绿洲漆的一位市场销售经理说。
　　“外王”—亚洲田径锦标赛，品牌营销战略的扩张
　　民族品牌在与国外老牌对手的竞争，需要的是王者实力和魄力。这在中国民族品牌的成功经验中是十分明显的。沙漠绿洲漆在与立邦、多乐士的众多外国老牌涂料企业的几次针锋相对中，就显示出其实力和魄力。沙漠绿洲漆精湛的技术，优良的品质向世界证明，中国涂料民族品牌已成国际巨人。
　　2009年沙漠绿洲漆击败众多国际品牌，成为第18届亚洲田径锦标赛的合作伙伴，并成为赛事指定专用漆。沙漠绿洲漆作为中国涂料民族品牌再次代表中国傲立于世界舞台之上。
　　“外王”的又一契机——第16届广州亚运会，振兴民族涂料大发展
　　广州亚运会作为在中国举办的继北京奥运会、上海世博会之后的又一大国际盛事。无论是民族品牌还是外国品牌都将展开激烈的竞争角逐，以期得到站在舞台上的名额，作为涂料行业来说，更是难得机会。竞争也将十分的激烈。大量的场馆、设施建设等将预示着巨大的涂料用量。中国涂料民族品牌如何再次脱颖而出。需要的是“内圣外王”的实力和魄力。
　　“内圣外王”之道是沙漠绿洲漆铸就民族品牌内在核心和外在价值的集中体现。丽莎人也在继续走这条具有中国哲学核心价值的道路，朝着铸就“百年丽莎”宏伟目标前进，打造世界一流涂料企业不懈努力。

",6
"如何确保儿童房装修“健康环保”？
","　　主持人：刚才您向我们详细的解说了“环保装修”和“健康装修”。在家庭装修过程中，还存在很 多特殊情况，比如儿童房装修。马上要到“六一”儿童节了，有小孩的家庭都很关注儿童房装修。在儿童房装修这方面家长应该怎么做才能健康、环保？
　　冀志江：首先，我们要确保儿童房的装修要环保。首先，刚才谈到环保装修里面要减少木装修的污染。儿童房里如果装修，一定要减少木装修。如果你要有木装修，一定要用原木装修，不要用人造木装 修。原木装修，还有一个涂料的问题，就是木器漆，这个也要考虑到。当然现在确实市场上卖的一些儿童房家具要比我们普通的家具要好。另外，儿童房装修，我建议要使用我们刚才谈到的舒适健康型的材料，比如抗菌净化的装饰材料、涂料、壁材，还有一些呼吸功能的材料。第一步，你首先要从选材控制 污染；第二，我要选择能改善污染的材料，比如能控制化学污染的材料，比如能改善室内舒适度的调试材料，我可以做一面墙，这面墙的呼吸性很好。它一方面是调湿，另外室内如果有化学污染，它可以进行调试。
　　我们也做过测试，比如你刷漆和不刷漆，墙体表面对污染物和水分子的吸附能力是不同的。现在老百姓都觉得要装修，墙面肯定要做得很光滑，用乳胶漆把它刷得很漂亮。往往有时候这些高档装修它和环保正好是相反相悖的。
　　主持人：现在大部分家庭都只有一个孩子，所以在儿童房装修上会投入多一点。可能很多家庭会把 儿童房里装得特别漂亮，比如贴上绚丽的强制甚至是彩绘，这些是环保的吗？
　　冀志江：我刚才说到要尽量少装修，少用一些化学性的装修，包括我们用的乳胶漆，它是一个高分子材料。打个比方，如果我们用一个塑料布搭成的房子，你住在里面会感觉很闷，空气不好。如果你用 一个用砖头搭建的房子，你会感到很舒服，因为呼吸性的影响是很大的。像西北地区都住窑洞，像窑洞 确实是冬暖夏凉，如果说调试温度和湿度，这一定是个好的材料。所以儿童房的装修，一定要少用木装修和少用化学装修材料，同时可以再用一些改善环境的空气净化材料。
　　主持人：可能您提到的这些装修理念还没有在社会上普及，很多父母心目中还没有达成这样的共识，我想媒体和协会，应该多宣传这方面的概念，给孩子一个真正环保健康的儿童房。

",6
"玻璃家具容易刮花 教你几个保养的小妙招
","　　日常清洁时，用湿毛巾或报纸擦拭即可，如遇污迹可用毛巾蘸啤酒或温热的食醋擦除，另外也可以使用目前市场上出售的玻璃清洗剂，忌用酸碱性较强的溶液清洁。
　　用玻璃制作的家居产品固然漂亮，但也要小心呵护。以下是经验人士总结出的几条保养方法：
　　1.平时不要用力碰撞玻璃面，为防玻璃面刮花，最好铺上台布。在玻璃家具上搁放东西时，要轻拿轻放，切忌碰撞。
　　2.日常清洁时，用湿毛巾或报纸擦拭即可，如遇污迹可用毛巾蘸啤酒或温热的食醋擦除，另外也可以使用目前市场上出售的玻璃清洗剂，忌用酸碱性较强的溶液清洁。
　　3.有花纹的毛玻璃一旦脏了，可用蘸有清洁剂的牙刷，顺着图样打圈擦拭即可去除。此外，也可以在玻璃上滴点煤油或用粉笔灰和石膏粉蘸水涂在玻璃上晾干，再用干净布或棉花擦，这样玻璃既干净又明亮。
　　4.玻璃家具最好安放在一个较固定的地方，不要随意地来回移动；要平稳放置物件，沉重物件应放置玻璃家具底部，防止家具重心不稳造成翻倒。另外，要避免潮湿，远离炉灶，要与酸、碱等化工试剂隔绝，防止腐蚀变质。
　　5.使用保鲜膜和喷有洗涤剂的湿布也可以让时常沾满油污的玻璃“重获新生”。首先，将玻璃全面喷上清洁剂，再贴上保鲜膜，使凝固的油渍软化，过十分钟后，撕去保鲜膜，再以湿布擦拭即可。要想保持玻璃光洁明亮，必须经常动手清洁，玻璃上若有笔迹，可用橡皮浸水摩擦，然后再用湿布擦拭；玻璃上若有油漆，可用棉花蘸热醋擦洗；用清洁干布蘸酒精擦拭玻璃，可使其亮如水晶。

",6
"张恩玖研讨会阐述新观点 江泽慧亲临考察
","　　11月18日，全国木材标准化技术委员会第三届第三次年会?木材标准研讨会在南浔隆重召开。公司董事长张恩玖作为南浔地板块状经济的企业代表，特邀在会上作了题为《实施标准化战略，打造企业核心竞争力》的报告。国家林业局、国家标准化管理委员会、浙江省林业厅、省质监局、湖州市、南浔区等单位有关领导，国内多所高校、科研院所的专家学者，数十家大中型木业企业的领导和代表等200余人出席了大会开幕式。
　　本次会议由全国木材标准化技术委员会主办，浙江久盛地板有限公司作为协办单位全程参与了筹备工作。大会以“实施标准化战略，促进地板行业发展”为主题，旨在充分发挥科技支撑作用，帮助企业摆脱国际金融危机冲击，破解产业振兴发展难题，推进地板产业转型升级，促进林业产业可持续发展。
　　开幕式由全国木材标准化技术委员会副主任委员、中国林科院木材工业研究所所长叶克林主持，国家林业局党组成员、中国林科院院长、全国木材标准化技术委员会主任委员江泽慧女士做主题报告。
　　张总题为《实施标准化战略，打造企业核心竞争力》的报告，高屋建瓴，从标准已成为企业竞争新的制高点、标准化是企业发展的新战略以及久盛地板是如何实施标准化的三个方面提出了见地，张总阐述的观点引起了与会人员的强烈反响并得到了广泛认同。
　　会议期间，江泽慧院长特意来到久盛地板的展板前，她认真地阅看了展板内容，并不时与张总进行亲切的交谈，了解公司的发展情况，并仔细地询问了产品制作工艺和产品性能等。江院长对久盛专注于地板行业，坚持以价值取胜做法，优秀的企业文化、科研研发管理以及企业发展的战略等，给予了高度的评价。
　　下午，江泽慧院长又亲临久盛公司参观考察。江院长参观了公司研发检测中心木材标本室和研发实验室。在木材标本室，江院长十分赞赏久盛在生产经营的同时，投入大量的人力物力开展木材研究的做法，还详细询问了公司目前使用木材资源的情况并提出了宝贵的建议。在研发实验室，江院长仔细了解了公司新产品开发的情况以及新产品的性能演示，对公司始终把产品研发创新作为企业发展核心竞争力的发展战略给予了高度的肯定。 

",6
"力拓间谍门渐明晰 陶瓷行业无间道却活跃
","　　近年来，“间谍类”影视剧在银幕大热,“无间道”系列影片更是席卷中国票房。但对于普通百姓而言,间谍在我们的生活中似乎并不真实出现。间谍片也更多是怀旧、纪念甚至是娱乐的性质。而随着力拓“间谍门”事件的曝光,人们才意识到,其实“无间道”离我们并不远。
　　2009年7月9日，上海市国家安全局向新华社记者证实，澳大利亚力拓集团上海办事处的4名员工因涉嫌窃取中国国家秘密被拘留。力拓利用“间谍”来获取中铝的商业机密，向中国销售铁矿石获益近4000亿元。一个是全球矿业的巨头，一个是中国国家授权的投资管理机构和控股公司，是中央直接管理的国有重要骨干企业。巨额地偷盗国家财产，如此之大的商业机密窃取案件，一时之间引起了社会的轩然大波，同时也让社会各界产生质疑———中国企业的信息真正安全了吗？那我们的陶瓷企业会不会也存在着“无间道”呢？
　　《孙子兵法》云“知己知彼，百战不殆”在激烈的市场竞争中,这一战术已经成为企业的经营之道。商场如战场,知己知彼百战百胜，情报和信息这些战场上克敌制胜的重要因素,放在我们的陶业领域也是同样成立的。虽然我国陶瓷工业经过改革开放三十年的快速发展，已经成为世界上最大的建筑卫生陶瓷生产国和消费国。但不容忽视的是，由于历史和现实的原因，我国的陶瓷工业与国外相比，技术门槛还是比较低，企业的技术机密或其他有价值的商业信息一旦泄露，就会被人轻易地模仿和利用,这一事实在客观上导致了两个后果：
　　一是，我国陶瓷企业的“无间道”活跃。这些陶业的“无间道们”比起力拓“间谍门”里的四位“特工”，行事更加“光明正大”。他们总是活跃于各个展会和销售现场，在销售终端找到样品，然后回去依葫芦画瓢，公然抄袭，并美其名曰“开发新产品”。更甚的是，近年来我国陶业的“无间道们”已经不满足于国内市场，活跃到国外去了———“模仿、抄袭之风长盛不衰，使得欧洲人对中国陶瓷企业极度戒备和排挤。”据不完全统计，自2001年到今，中国瓷砖相继遭遇印度、墨西哥、菲律宾、埃及、厄瓜多尔等国的反倾销诉讼，部分国家的反倾销税率更是高达200%以上，这些贸易壁垒使得我国陶业出口受到重创。如此之高的反倾销税的确令人咋舌，但空穴来风，在如此惊人的贸易壁垒背后却又隐藏着我国陶业“无间”成风的重大问题。
　　二是，导致了企业创新的动力明显不足，“无间道们”反成为了陶瓷生产的上游技术来源。因为行业内技术门槛低，只要获取了对方企业新产品的商业信息，就有大把的东西可以轻而易举地“拿来”模仿，这样就失去了独立创新的意识。企业一旦普遍缺乏创新的动力，也就失去了对创新这一核心竞争力的追求，便只有在营销策略玩花样，将偷来的概念换一个包装重新上市。这就是为什么近年来，我们在陶瓷行业的招聘市场中会发现企业对营销策划人才的需求甚至大于对技术人员的需求。另外，在陶瓷市场上，消费者常常可以看到许多五花八门的新品牌和不断推出的新的概念产品，这些产品的制造更大一部分是为了迎合销售终端的需求，她卖的不是上游的制陶技术创新而仅仅只是一个最终的表面概念而已。
　　力拓的“间谍门”是逐渐地打开了，而我国陶业的“无间道”却继续活跃,如果陶企们不放弃“无间道”，那中国陶瓷行业或许只会最终走入“无间地狱”。 

",6
"超级混搭狂打造别样混搭美感疯狂小屋(组图)(7)
","　　仿古的壁炉很有美式家居的味道。

",6
"全筑低碳住宅实施系统北京住博会广受青睐
","　　10月28日，为期三天的“2010·第九届中国国际住宅产业博览会”在北京展览馆隆重召开。作为上海住宅装饰产业节能环保的代表企业——全筑集团以上海市住宅装饰行业唯一获邀单位参展住博会，其自主研发和制定的全装修标准化实施系统更是得到行业主管部门、装饰行业及各大媒体的广泛好评。
    本届住博会以“发展低碳经济，共筑明日之家”为主题，旨在探讨中国未来住宅发展的新方向，大会推出的“明日之家2号”运用最前沿的技术原理，直观展现了未来低碳住宅的蓝本。中国全装修第一品牌企业全筑集团所倡导“低碳住宅”的全装修标准化实施系统成为大会的亮点，再次把人们关注的目光从纷繁复杂的房地产市场转移到住宅产品及住宅产业化的发展上来。
　　作为装饰行业全装修标准化实施系统的创造者和倡导者，全筑集团12年来一直以住宅装饰产业化战略为己任，重视为消费者打造绿色健康的低碳住宅，建立了完整的全装修室内设计、装饰施工、材料设备配套、功能家具配套、软装配套、景观设计和景观施工等功能系统集成的系统解决方案，为全装修实施提供从全装修前期设计咨询、中期管理和实施，到后期服务以及装饰总包等系统咨询和管理服务。
　　短短的三天时间内，前来询问的专业人士数不胜数，博览会当天，全筑集团的全装修标准化实施系统和各核心技术吸引了行业主管部门的领导，上海、北京以及各地的装饰行业企业代表以及媒体朋友的参观和咨询，他们认为，全筑全装修系统很好的解决了住宅建设和使用中的低碳环保问题，促进了我国住宅产业的健康发展。

",6
"创意十足的刀架(图)
","　　创意十足的刀架

",6
